TRRSRT_NM,BASE_YM,CHNNEL_NM,BASE_YEAR_ACCMLT_FQ_CO,BASE_YM_FQ_CO,BASE_YEAR_BEFORE_MT_FQ_CO,BEFORE_MT_VERSUS_FQ_CO_IRDS_RT,AVRG_SCORE_VALUE,REVIEW_CO,PLACE_TY,LC_LA,LC_LO,ADDR,CTPRVN_NM,SIGNGU_NM,TURSM_CSTMR_CO,BEFORE_YEAR_MT_TURSM_CSTMR_CO,TURSM_CSTMR_CO_IRDS_RT,TURSM_SPND_PRICE,NATIVE_TURSM_SPND_PRICE,FRNR_TURSM_SPND_PRICE
"이화여자대학교","202602","기타","3.00000","3.00000",,"1.00000","4.60000","1426.00000","여자대학","37.5618588","126.9468339","서울특별시 서대문구 대현동 산11-1","서울특별시","서대문구","6660493.00000","6777533.00000","-1.70000","72030402.00000","62296551.00000","9733851.00000"
"삼청동길","202602","기타","1.00000",,"1.00000","-1.00000","4.30000","2143.00000","관광 명소","37.5837936","126.9819183","서울특별시 종로구 삼청동 63-40","서울특별시","종로구","11029070.00000","10636234.00000","3.70000","218741996.00000","184807361.00000","33934635.00000"
"청계천","202602","기타","1.00000","1.00000",,"1.00000","4.50000","10435.00000","공원","37.5691015","126.9786692","서울특별시 중구 무교동 80-1","서울특별시","종로구","11029070.00000","10636234.00000","3.70000","218741996.00000","184807361.00000","33934635.00000"
"롯데월드","202602","기타","2.00000","2.00000",,"1.00000","4.30000","48206.00000","테마파크","37.5111158","127.098167","서울특별시 송파구 송파대로 521","서울특별시","송파구","10146860.00000","9739328.00000","4.20000","291988351.00000","261424063.00000","30564288.00000"
"올림픽공원","202602","기타","1.00000",,"1.00000","-1.00000","4.60000","2984.00000","시티 공원","37.5206868","127.1214941","서울특별시 송파구 방이동 88-3","서울특별시","송파구","10146860.00000","9739328.00000","4.20000","291988351.00000","261424063.00000","30564288.00000"
"부산 국제시장","202602","기타","1.00000",,"1.00000","-1.00000","4.10000","12837.00000","시장","35.1731121","129.0714122","부산광역시 양정역","부산광역시","부산진구","6224575.00000","5613251.00000","10.90000","115350514.00000","92539149.00000","22811365.00000"
"해운대해수욕장","202602","기타","1.00000","1.00000",,"1.00000","4.60000","2615.00000","해변","35.1719465","129.1741038","부산광역시 해운대구 좌동 998-11","부산광역시","해운대구","5876416.00000","5217009.00000","12.60000","240143749.00000","223342306.00000","16801443.00000"
"남한산성","202602","기타","1.00000",,"1.00000","-1.00000","4.40000","1799.00000","문화 유산 보존","37.4789","127.18","경기도 광주시 남한산성면 남한산성로 784-29","경기도","광주시","3680355.00000","3574386.00000","3.00000","66050512.00000","65800938.00000","249574.00000"
"서울대학교","202602","기타","1.00000",,"1.00000","-1.00000","4.40000","2003.00000","공립대학교","37.4648267","126.9571988","서울특별시 관악구 관악로","서울특별시","관악구","5450305.00000","4925767.00000","10.60000","64409354.00000","63203110.00000","1206244.00000"
"합천영상테마파크","202602","기타","1.00000","1.00000",,"1.00000","4.10000","4020.00000","테마파크","35.5492109","128.07312","경상남도 합천군 용주면 합천호수로 757","경상남도","합천군","537002.00000","332098.00000","61.70000","3808624.00000","3797359.00000","11265.00000"
"경복궁","202602","기타","1.00000","1.00000",,"1.00000","4.60000","45993.00000","문화적 랜드마크","37.579617","126.977041","서울특별시 종로구 사직로 161","서울특별시","종로구","11029070.00000","10636234.00000","3.70000","218741996.00000","184807361.00000","33934635.00000"
"삼성서울병원","202602","네이버카페","5.00000","3.00000","2.00000","0.50000","3.90000","562.00000","종합병원","37.4881193","127.0849885","서울특별시 강남구 일원로 81 삼성서울병원","서울특별시","강남구","16491576.00000","17788449.00000","-7.30000","637208371.00000","466585789.00000","170622582.00000"
"북촌한옥마을","202602","네이버카페","37.00000","20.00000","17.00000","0.20000","4.40000","23788.00000","명소","37.5814696","126.9849519","서울특별시 종로구 가회동 30-9","서울특별시","종로구","11029070.00000","10636234.00000","3.70000","218741996.00000","184807361.00000","33934635.00000"
"63빌딩","202602","네이버카페","2.00000","2.00000",,"1.00000","4.20000","9566.00000","문화적 랜드마크","37.5198332","126.9400724","서울특별시 영등포구 63로 50","서울특별시","영등포구","8794972.00000","8862066.00000","-0.80000","251528745.00000","230472039.00000","21056706.00000"
"부산 국제시장","202602","네이버카페","13.00000","11.00000","2.00000","4.50000","4.10000","12837.00000","시장","35.1731121","129.0714122","부산광역시 양정역","부산광역시","부산진구","6224575.00000","5613251.00000","10.90000","115350514.00000","92539149.00000","22811365.00000"
"보라매공원","202602","네이버카페","1.00000",,"1.00000","-1.00000","4.50000","7582.00000","시티 공원","37.4932342","126.9197115","서울특별시 동작구 신대방동 395","서울특별시","동작구","5294303.00000","4720716.00000","12.20000","61333375.00000","59843979.00000","1489396.00000"
"명동대성당","202602","네이버카페","27.00000",,"27.00000","-1.00000","4.70000","9904.00000","대성당","37.5633245","126.9872338","서울특별시 중구 명동길 74","서울특별시","중구","11021521.00000","11294766.00000","-2.40000","806649873.00000","589683568.00000","216966305.00000"
"명동","202602","네이버카페","97.00000","21.00000","76.00000","-0.70000","4.40000","25828.00000","관광 명소","37.55998","126.9858296","서울특별시 중구 남산동2가 10-4","서울특별시","중구","11021521.00000","11294766.00000","-2.40000","806649873.00000","589683568.00000","216966305.00000"
"부천시청","202602","네이버카페","1.00000",,"1.00000","-1.00000","4.20000","365.00000","시청","37.504681","126.763618","경기도 부천시 원미구 중동 길주로 부천시청","경기도","부천시 원미구","5052278.00000","4824558.00000","4.70000","95435802.00000","93083216.00000","2352586.00000"
"부산시민공원","202602","네이버카페","2.00000",,"2.00000","-1.00000","4.60000","8205.00000","시티 공원","35.1681608","129.0573853","부산광역시 부산진구 연지동 388","부산광역시","부산진구","6224575.00000","5613251.00000","10.90000","115350514.00000","92539149.00000","22811365.00000"
"샤롯데씨어터","202602","네이버카페","1.00000",,"1.00000","-1.00000","4.40000","3963.00000","공연예술 극장","37.5107077","127.0998494","서울특별시 송파구 올림픽로 240","서울특별시","송파구","10146860.00000","9739328.00000","4.20000","291988351.00000","261424063.00000","30564288.00000"
"망원시장","202602","네이버카페","1.00000","1.00000",,"1.00000","4.30000","8684.00000","재래시장","37.5559018","126.9062854","서울특별시 마포구 포은로6길 27","서울특별시","마포구","9335774.00000","9086598.00000","2.70000","208861800.00000","164554123.00000","44307677.00000"
"서대문자연사박물관","202602","네이버카페","1.00000",,"1.00000","-1.00000","4.30000","2998.00000","자연사 박물관","37.576673","126.9374741","서울특별시 서대문구 연희동 141-52","서울특별시","서대문구","6660493.00000","6777533.00000","-1.70000","72030402.00000","62296551.00000","9733851.00000"
"서울광장","202602","네이버카페","1.00000",,"1.00000","-1.00000","4.30000","3435.00000","공원","37.5655675","126.978014","서울특별시 중구 태평로2가 375","서울특별시","중구","11021521.00000","11294766.00000","-2.40000","806649873.00000","589683568.00000","216966305.00000"
"서울대학교","202602","네이버카페","224.00000","133.00000","91.00000","0.50000","4.40000","2003.00000","공립대학교","37.4648267","126.9571988","서울특별시 관악구 관악로","서울특별시","관악구","5450305.00000","4925767.00000","10.60000","64409354.00000","63203110.00000","1206244.00000"
"서울숲공원","202602","네이버카페","13.00000","12.00000","1.00000","11.00000","4.60000","10564.00000","공원","37.5443878","127.0374424","서울특별시 성동구 성수동1가 678-1","서울특별시","성동구","5825124.00000","5467850.00000","6.50000","117240505.00000","90943812.00000","26296693.00000"
"서울시청","202602","네이버카페","2.00000","2.00000",,"1.00000","4.30000","854.00000","시청","37.550263","126.9970831","서울특별시 중구 세종대로 110","서울특별시","중구","11021521.00000","11294766.00000","-2.40000","806649873.00000","589683568.00000","216966305.00000"
"서울역사박물관","202602","네이버카페","8.00000","7.00000","1.00000","6.00000","4.50000","5299.00000","역사 박물관","37.5704616","126.9705126","서울특별시 종로구 신문로2가 2-1","서울특별시","종로구","11029070.00000","10636234.00000","3.70000","218741996.00000","184807361.00000","33934635.00000"
"서울월드컵경기장","202602","네이버카페","7.00000","7.00000",,"1.00000","4.40000","9418.00000","경기장","37.5682617","126.8972735","서울특별시 마포구 월드컵로 240","서울특별시","마포구","9335774.00000","9086598.00000","2.70000","208861800.00000","164554123.00000","44307677.00000"
"석굴암","202602","네이버카페","1.00000","1.00000",,"1.00000","4.40000","7714.00000","불교사찰","35.7948755","129.3492072","경상북도 경주시 석굴로 238","경상북도","경주시","4080825.00000","3160731.00000","29.10000","80715518.00000","79915491.00000","800027.00000"
"석촌호수공원","202602","네이버카페","5.00000","5.00000",,"1.00000","4.50000","5074.00000","석촌호수공원","37.5113096","127.1051525","서울특별시 송파구 송파나루길 206","서울특별시","송파구","10146860.00000","9739328.00000","4.20000","291988351.00000","261424063.00000","30564288.00000"
"성북동","202602","네이버카페","7.00000","7.00000",,"1.00000","4.60000","3140.00000","불교사찰","37.5952093","126.9978087","서울특별시 성북동성당","서울특별시","성북구","4630230.00000","3881174.00000","19.30000","53800560.00000","52624279.00000","1176281.00000"
"성산 일출봉","202602","네이버카페","2.00000","1.00000","1.00000",,"4.70000","1769.00000","산봉우리","33.4180535","126.8648302","제주특별자치도 서귀포시 성산읍 난산리 1672","제주특별자치도","서귀포시","3306782.00000","2663678.00000","24.10000","89284867.00000","78934540.00000","10350327.00000"
"삼청동길","202602","네이버카페","3.00000","3.00000",,"1.00000","4.30000","2143.00000","관광 명소","37.5837936","126.9819183","서울특별시 종로구 삼청동 63-40","서울특별시","종로구","11029070.00000","10636234.00000","3.70000","218741996.00000","184807361.00000","33934635.00000"
"만장굴","202602","네이버카페","1.00000",,"1.00000","-1.00000","4.20000","11850.00000","관광 명소","33.5282463","126.7702874","제주특별자치도 제주시 구좌읍 만장굴길 182 만장굴","제주특별자치도","제주시","4459966.00000","3814265.00000","16.90000","151951229.00000","129080888.00000","22870341.00000"
"마두공원","202602","네이버카페","5.00000",,"5.00000","-1.00000","4.40000","231.00000","공원","37.652185","126.777641","고양시 마두역","경기도","고양시 일산동구","4242553.00000","4077955.00000","4.00000","87815791.00000","86820988.00000","994803.00000"
"마로니에 공원","202602","네이버카페","1.00000","1.00000",,"1.00000","4.30000","5955.00000","공원","37.5805009","127.0028245","서울특별시 종로구 대학로8길 1 마로니에 공원","서울특별시","종로구","11029070.00000","10636234.00000","3.70000","218741996.00000","184807361.00000","33934635.00000"
"국립고궁박물관","202602","네이버카페","2.00000",,"2.00000","-1.00000","4.60000","7199.00000","국립박물관","37.5766084","126.974951","서울특별시 종로구 효자로 12","서울특별시","종로구","11029070.00000","10636234.00000","3.70000","218741996.00000","184807361.00000","33934635.00000"
"국립과천과학관","202602","네이버카페","5.00000","1.00000","4.00000","-0.80000","4.50000","9094.00000","과학박물관","37.4381228","127.0057768","경기도 과천시 과천동 상하벌로 110","경기도","과천시","1560584.00000","1337252.00000","16.70000","15822293.00000","15303590.00000","518703.00000"
"국립국악원","202602","네이버카페","15.00000","6.00000","9.00000","-0.30000","4.50000","1001.00000","아트 센트","37.477","127.0086","서울특별시 서초구 남부순환로 2364","서울특별시","서초구","14397656.00000","14188514.00000","1.50000","509752510.00000","465750860.00000","44001650.00000"
"국립민속박물관","202602","네이버카페","2.00000",,"2.00000","-1.00000","4.60000","3656.00000","국립박물관","37.5816456","126.9789948","서울특별시 종로구 팔판동 139-1","서울특별시","종로구","11029070.00000","10636234.00000","3.70000","218741996.00000","184807361.00000","33934635.00000"
"국립부여박물관","202602","네이버카페","1.00000",,"1.00000","-1.00000","4.50000","3661.00000","국립박물관","36.2763865","126.9189991","충청남도 부여군 부여읍 금성로 5","충청남도","부여군","960130.00000","655308.00000","46.50000","16402529.00000","16340006.00000","62523.00000"
"국립중앙과학관","202602","네이버카페","3.00000",,"3.00000","-1.00000","4.50000","5211.00000","과학박물관","36.3755897","127.3766119","대전광역시 유성구 구성동 411-1","대전광역시","유성구","4961068.00000","4623412.00000","7.30000","161276395.00000","159773476.00000","1502919.00000"
