TRRSRT_NM,BASE_YM,CHNNEL_NM,BASE_YEAR_ACCMLT_FQ_CO,BASE_YM_FQ_CO,BASE_YEAR_BEFORE_MT_FQ_CO,BEFORE_MT_VERSUS_FQ_CO_IRDS_RT,AVRG_SCORE_VALUE,REVIEW_CO,PLACE_TY,LC_LA,LC_LO,ADDR,CTPRVN_NM,SIGNGU_NM,TURSM_CSTMR_CO,BEFORE_YEAR_MT_TURSM_CSTMR_CO,TURSM_CSTMR_CO_IRDS_RT,TURSM_SPND_PRICE,NATIVE_TURSM_SPND_PRICE,FRNR_TURSM_SPND_PRICE
"정자역","202512","네이버카페","1.00000",,,,"4.40000","27.00000","교통 허브","37.366766","127.108265","성남시 정자역","성남시","성남시","7836010.00000","14351708.00000","-45.40000","262621292.00000","249078510.00000","13542782.00000"
"홍대역","202512","네이버카페","1.00000",,,,"4.50000","8943.00000","관광 명소","37.557527","126.9244669","서울특별시 홍대입구역","서울특별시","마포구","10786650.00000","19969180.00000","-46.00000","268379772.00000","195244196.00000","73135576.00000"
"건대입구","202512","네이버카페","1.00000",,,,"4.10000","851.00000","쇼핑몰","37.540372","127.069276","서울특별시 화양동 건대입구","서울특별시","광진구","6450112.00000","11583474.00000","-44.30000","114129699.00000","97632465.00000","16497234.00000"
"명동","202512","네이버카페","1.00000","1.00000",,"1.00000","4.40000","25754.00000","관광 명소","37.55998","126.9858296","서울특별시 중구 남산동2가 10-4","서울특별시","중구","14098427.00000","25744412.00000","-45.20000","973299327.00000","701404729.00000","271894598.00000"
"남산","202512","네이버카페","149.00000",,,,"4.70000","701.00000","산봉우리","37.5537586","126.9809696","서울특별시 중구 회현동1가 100-166","서울특별시","중구","14098427.00000","25744412.00000","-45.20000","973299327.00000","701404729.00000","271894598.00000"
"하남스타필드","202512","네이버카페","1.00000",,,,"4.30000","18685.00000","쇼핑몰","37.5454054","127.223858","경기도 하남시 미사대로 750 스타필드 하남 1층","경기도","하남시","4965006.00000","9033408.00000","-45.00000","140927388.00000","139749702.00000","1177686.00000"
"전쟁기념관","202512","네이버카페","1.00000",,,,"4.60000","17879.00000","전쟁 박물관","37.5366059","126.9771397","서울특별시 용산구 이태원로 29","서울특별시","용산구","10532053.00000","18140212.00000","-41.90000","214781775.00000","180506917.00000","34274858.00000"
"북촌한옥마을","202512","네이버카페","2.00000",,,,"4.40000","23663.00000","명소","37.5814696","126.9849519","서울특별시 종로구 가회동 30-9","서울특별시","종로구","13344258.00000","23594704.00000","-43.40000","277778643.00000","228651621.00000","49127022.00000"
"서울대학교","202512","네이버카페","11.00000",,,,"4.40000","2002.00000","공립대학교","37.4648267","126.9571988","서울특별시 관악구 관악로","서울특별시","관악구","5887970.00000","10867212.00000","-45.80000","73990712.00000","72233498.00000","1757214.00000"
"김해공항","202512","네이버카페","4.00000",,,,"4.10000","4797.00000","국제 공항","37.5655","126.8013","서울특별시 강서구 하늘길 112","서울특별시","강서구","8630332.00000","14139174.00000","-39.00000","327629821.00000","316545399.00000","11084422.00000"
"인천국제공항","202512","네이버카페","6.00000","2.00000",,"1.00000","4.50000","32422.00000","국제공항","37.458666","126.4419679","인천광역시 중구 공항로 272 인천국제공항 (ICN)","인천광역시","중구","8789904.00000","17180030.00000","-48.80000","279036426.00000","205245440.00000","73790986.00000"
"부산 국제시장","202512","네이버카페","6.00000",,,,"4.10000","12790.00000","시장","35.1731121","129.0714122","부산광역시 양정역","부산광역시","부산진구","6890544.00000","12625228.00000","-45.40000","124763842.00000","98824260.00000","25939582.00000"
"서울아트시네마","202512","네이버카페","3.00000",,,,"4.70000","60.00000","영화관","37.568038","126.9695876","서울특별시 중구 정동길 3","서울특별시","중구","14098427.00000","25744412.00000","-45.20000","973299327.00000","701404729.00000","271894598.00000"
"군산근대역사박물관","202512","네이버카페","1.00000",,,,"4.10000","5419.00000","지역사 박물관","35.9906994","126.7119653","전북특별자치도 군산시 장미동 1-67","전북특별자치도","군산시","2070488.00000","3846352.00000","-46.20000","57990043.00000","56655564.00000","1334479.00000"
"한라산","202512","네이버카페","1.00000","1.00000",,"1.00000","4.70000","808.00000","산봉우리","33.3616666","126.5291666","제주특별자치도 제주시 오등동 산57번지 한라산골프장내","제주특별자치도","서귀포시","3660836.00000","6701436.00000","-45.40000","98166010.00000","88484066.00000","9681944.00000"
"해인사","202512","네이버카페","2.00000",,,,"4.60000","4164.00000","불교사찰","35.8011781","128.098098","경상남도 합천군 가야면 해인사길 122","경상남도","합천군","433884.00000","804840.00000","-46.10000","3516280.00000","3506036.00000","10244.00000"
"남원 광한루원","202512","네이버카페","2.00000",,,,"4.30000","5286.00000","정원","35.4151468","127.3862661","전북특별자치도 남원시 향교동 244-6","전북특별자치도","남원시","688040.00000","1331980.00000","-48.30000","13348289.00000","13316926.00000","31363.00000"
"진주성","202512","네이버카페","1.00000",,,,"4.50000","4102.00000","역사적 명소","35.1890244","128.078001","경상남도 진주시 남강로 626","경상남도","진주시","1869945.00000","3526312.00000","-47.00000","32434933.00000","32007297.00000","427636.00000"
"롯데워터파크 김해","202512","네이버카페","1.00000",,,,"4.20000","5379.00000","워터파크","35.1808236","128.8292747","경상남도 김해시 장유로 555","경상남도","김해시","3914764.00000","7278608.00000","-46.20000","91241821.00000","90315302.00000","926519.00000"
"합천영상테마파크","202512","네이버카페","1.00000",,,,"4.10000","4020.00000","테마파크","35.5492109","128.07312","경상남도 합천군 용주면 합천호수로 757","경상남도","합천군","433884.00000","804840.00000","-46.10000","3516280.00000","3506036.00000","10244.00000"
"해운대해수욕장","202512","네이버카페","7.00000","1.00000",,"1.00000","4.60000","2579.00000","해변","35.1719465","129.1741038","부산광역시 해운대구 좌동 998-11","부산광역시","해운대구","6432948.00000","11744480.00000","-45.20000","250082505.00000","221765700.00000","28316805.00000"
"강변","202512","네이버카페","1.00000",,,,"4.10000","832.00000","전자제품 판매점","37.535098","127.094695","서울특별시 광진구 강변역로 53 강변","서울특별시","광진구","6450112.00000","11583474.00000","-44.30000","114129699.00000","97632465.00000","16497234.00000"
"남한산성","202512","네이버카페","7.00000",,,,"4.40000","1790.00000","문화 유산 보존","37.4789","127.18","경기도 광주시 남한산성면 남한산성로 784-29","경기도","광주시","3445351.00000","7394540.00000","-53.40000","68350019.00000","68042278.00000","307741.00000"
"덕수궁","202512","네이버카페","6.00000",,,,"4.60000","20058.00000","문화적 랜드마크","37.5658049","126.9751461","서울특별시 중구 세종대로 99","서울특별시","중구","14098427.00000","25744412.00000","-45.20000","973299327.00000","701404729.00000","271894598.00000"
"국립중앙박물관","202512","네이버카페","6.00000",,,,"4.70000","27802.00000","국립박물관","37.5238506","126.9804702","서울특별시 용산구 서빙고로 137","서울특별시","용산구","10532053.00000","18140212.00000","-41.90000","214781775.00000","180506917.00000","34274858.00000"
"서울숲공원","202512","네이버카페","6.00000",,,,"4.60000","10568.00000","공원","37.5443878","127.0374424","서울특별시 성동구 성수동1가 678-1","서울특별시","성동구","6931869.00000","11826122.00000","-41.40000","149000121.00000","105978086.00000","43022035.00000"
"거제","202512","네이버카페","2.00000",,,,"4.30000","216.00000","섬","34.8931951","128.6091247","경상남도 거제시 장평동 7-9","경상남도","거제시","1782459.00000","3505418.00000","-49.20000","21981345.00000","21122342.00000","859003.00000"
"강남","202512","네이버카페","5.00000",,,,"4.10000","601.00000","관광 명소","37.4966645","127.0629804","서울특별시 강남구 남부순환로 2949-2","서울특별시","강남구","20704806.00000","37998220.00000","-45.50000","851188507.00000","587672102.00000","263516405.00000"
"독립기념관","202512","네이버카페","1.00000",,,,"4.60000","9618.00000","역사 박물관","36.7812042","127.2264822","충청남도 천안시 동남구 목천읍 독립기념관로 1 독립기념관","충청남도","천안시","3886802.00000","7462784.00000","-47.90000","76211109.00000","75528506.00000","682603.00000"
"코엑스몰","202512","네이버카페","2.00000",,,,"4.30000","24474.00000","쇼핑몰","37.5113686","127.0595931","서울특별시 영동대로 513","서울특별시","강남구","20704806.00000","37998220.00000","-45.50000","851188507.00000","587672102.00000","263516405.00000"
"이태원","202512","네이버카페","147.00000",,,,"4.30000","290.00000","관광 명소","37.5385051","126.9925224","서울특별시 용산구 이태원동 213-4","서울특별시","용산구","10532053.00000","18140212.00000","-41.90000","214781775.00000","180506917.00000","34274858.00000"
"한라산","202512","뉴스","1.00000",,,,"4.70000","808.00000","산봉우리","33.3616666","126.5291666","제주특별자치도 제주시 오등동 산57번지 한라산골프장내","제주특별자치도","서귀포시","3660836.00000","6701436.00000","-45.40000","98166010.00000","88484066.00000","9681944.00000"
"국립부여박물관","202512","뉴스","2.00000","2.00000",,"1.00000","4.50000","3592.00000","국립박물관","36.2763865","126.9189991","충청남도 부여군 부여읍 금성로 5","충청남도","부여군","864818.00000","1413510.00000","-38.80000","15687726.00000","15630479.00000","57247.00000"
"종묘","202512","뉴스","2.00000","2.00000",,"1.00000","4.50000","1210.00000","역사적 장소","37.5746","126.9938","서울특별시 종로구 종로 157 종묘관리소","서울특별시","종로구","13344258.00000","23594704.00000","-43.40000","277778643.00000","228651621.00000","49127022.00000"
"삼청동길","202512","뉴스","7.00000","5.00000",,"1.00000","4.30000","2132.00000","관광 명소","37.5837936","126.9819183","서울특별시 종로구 삼청동 63-40","서울특별시","종로구","13344258.00000","23594704.00000","-43.40000","277778643.00000","228651621.00000","49127022.00000"
"국립중앙박물관","202512","뉴스","2.00000",,,,"4.70000","27802.00000","국립박물관","37.5238506","126.9804702","서울특별시 용산구 서빙고로 137","서울특별시","용산구","10532053.00000","18140212.00000","-41.90000","214781775.00000","180506917.00000","34274858.00000"
"삼성서울병원","202512","뉴스","1.00000","1.00000",,"1.00000","3.90000","547.00000","종합병원","37.4881193","127.0849885","서울특별시 강남구 일원로 81 삼성서울병원","서울특별시","강남구","20704806.00000","37998220.00000","-45.50000","851188507.00000","587672102.00000","263516405.00000"
"김해공항","202512","뉴스","1.00000",,,,"4.10000","4797.00000","국제 공항","37.5655","126.8013","서울특별시 강서구 하늘길 112","서울특별시","강서구","8630332.00000","14139174.00000","-39.00000","327629821.00000","316545399.00000","11084422.00000"
"한국영화박물관","202512","뉴스","7.00000","3.00000",,"1.00000","4.20000","74.00000","박물관","37.5804334","126.8894764","서울특별시 마포구 상암동 1602번지 2층","서울특별시","마포구","10786650.00000","19969180.00000","-46.00000","268379772.00000","195244196.00000","73135576.00000"
"김포공항","202512","뉴스","9.00000",,"1.00000","-1.00000","4.40000","11500.00000","국제공항","37.5655383","126.8013282","서울특별시 강서구 하늘길 112 김포국제공항 (GMP)","서울특별시","강서구","8630332.00000","14139174.00000","-39.00000","327629821.00000","316545399.00000","11084422.00000"
"부산 국제시장","202512","뉴스","3.00000",,,,"4.10000","12790.00000","시장","35.1731121","129.0714122","부산광역시 양정역","부산광역시","부산진구","6890544.00000","12625228.00000","-45.40000","124763842.00000","98824260.00000","25939582.00000"
"무안국제공항","202512","뉴스","2.00000","2.00000",,"1.00000","4.00000","254.00000","국제 공항","34.9935","126.3878","전라남도 무안군 망운면 공항로 970-260","전라남도","무안군","1384782.00000","2734396.00000","-49.40000","21494480.00000","21355401.00000","139079.00000"
"명동","202512","뉴스","8.00000",,"8.00000","-1.00000","4.40000","25754.00000","관광 명소","37.55998","126.9858296","서울특별시 중구 남산동2가 10-4","서울특별시","중구","14098427.00000","25744412.00000","-45.20000","973299327.00000","701404729.00000","271894598.00000"
"피카디리극장","202512","뉴스","1.00000",,,,"4.00000","2426.00000","영화관","37.5709","126.9913","서울특별시 종로구 돈화문로5가길 1","서울특별시","종로구","13344258.00000","23594704.00000","-43.40000","277778643.00000","228651621.00000","49127022.00000"
"남이섬","202512","뉴스","2.00000",,,,"4.40000","37288.00000","자연보호구역","37.7899352","127.5258072","춘천시 남산면 방하리 197번지 남이섬내 춘천시 강원도 KR","춘천시","가평군","1506432.00000","2934604.00000","-48.70000","26306043.00000","25549128.00000","756915.00000"
"포시즌스호텔","202512","뉴스","3.00000",,,,"4.60000","7189.00000","5성급 호텔","37.5706978","126.9755073","서울특별시 종로구 당주동 새문안로 97","서울특별시","종로구","13344258.00000","23594704.00000","-43.40000","277778643.00000","228651621.00000","49127022.00000"
"남한산성","202512","뉴스","1.00000",,,,"4.40000","1790.00000","문화 유산 보존","37.4789","127.18","경기도 광주시 남한산성면 남한산성로 784-29","경기도","광주시","3445351.00000","7394540.00000","-53.40000","68350019.00000","68042278.00000","307741.00000"
"예술의전당","202512","뉴스","2.00000","1.00000",,"1.00000","4.60000","12058.00000","아트 센터","37.4792903","127.0128613","서울특별시 서초구 남부순환로 2406","서울특별시","서초구","17399190.00000","31151268.00000","-44.10000","597873216.00000","522488342.00000","75384874.00000"
"동대문","202512","뉴스","2.00000",,,,"4.40000","7759.00000","역사적 명소","37.5819561","127.054846","서울특별시 동대문구 전농동 141-189","서울특별시","동대문구","5070541.00000","9243374.00000","-45.10000","92655498.00000","87829240.00000","4826258.00000"
"독립기념관","202512","뉴스","1.00000",,,,"4.60000","9618.00000","역사 박물관","36.7812042","127.2264822","충청남도 천안시 동남구 목천읍 독립기념관로 1 독립기념관","충청남도","천안시","3886802.00000","7462784.00000","-47.90000","76211109.00000","75528506.00000","682603.00000"
"코엑스몰","202512","뉴스","6.00000",,,,"4.30000","24474.00000","쇼핑몰","37.5113686","127.0595931","서울특별시 영동대로 513","서울특별시","강남구","20704806.00000","37998220.00000","-45.50000","851188507.00000","587672102.00000","263516405.00000"
"부천시청","202512","뉴스","1.00000",,,,"4.20000","361.00000","시청","37.504681","126.763618","경기도 부천시 원미구 중동 길주로 부천시청","경기도","부천시","5674120.00000","10421964.00000","-45.60000","110530484.00000","107222357.00000","3308127.00000"
"서울관광재단","202512","뉴스","12.00000",,,,"4.70000","15.00000","재단","37.5685861","126.9871543","서울특별시 종로구 청계천로 85","서울특별시","종로구","13344258.00000","23594704.00000","-43.40000","277778643.00000","228651621.00000","49127022.00000"
"청주국제공항","202512","뉴스","3.00000",,,,"4.40000","2823.00000","국제 공항","36.7164","127.4989","충청북도 청주시 청원구 내수읍 오창대로 980","충청북도","청주시","2683972.00000","4640062.00000","-42.20000","60531301.00000","59390413.00000","1140888.00000"
