TRRSRT_NM,BASE_YM,CHNNEL_NM,BASE_YEAR_ACCMLT_FQ_CO,BASE_YM_FQ_CO,BASE_YEAR_BEFORE_MT_FQ_CO,BEFORE_MT_VERSUS_FQ_CO_IRDS_RT,AVRG_SCORE_VALUE,REVIEW_CO,PLACE_TY,LC_LA,LC_LO,ADDR,CTPRVN_NM,SIGNGU_NM,TURSM_CSTMR_CO,BEFORE_YEAR_MT_TURSM_CSTMR_CO,TURSM_CSTMR_CO_IRDS_RT,TURSM_SPND_PRICE,NATIVE_TURSM_SPND_PRICE,FRNR_TURSM_SPND_PRICE
"청와대","202506","네이버카페","1.00000","1.00000",,"1.00000","4.20000","1470.00000","관광 명소","37.5866076","126.974811","서울특별시 종로구 청와대로 1","서울특별시","종로구","12478900.00000","11169854.00000","11.70000","76690206.00000","53987622.00000","22702584.00000"
"군산근대역사박물관","202506","네이버카페","1.00000",,,,"4.10000","5354.00000","지역사 박물관","35.9906994","126.7119653","전북특별자치도 군산시 장미동 1-67","전북특별자치도","군산시","2159990.00000","2076935.00000","4.00000","10324728.00000","9362293.00000","962435.00000"
"부산 국제시장","202506","네이버카페","4.00000",,,,"4.10000","12587.00000","시장","35.1731121","129.0714122","부산광역시 양정역","부산광역시","부산진구","6122697.00000","5663689.00000","8.10000","48938630.00000","31772259.00000","17166371.00000"
"정자역","202506","네이버카페","1.00000",,,,"4.40000","26.00000","교통 허브","37.366766","127.108265","성남시 정자역","성남시","성남시 분당구","7509533.00000","6989003.00000","7.40000","63015419.00000","52552018.00000","10463401.00000"
"남산","202506","네이버카페","139.00000","19.00000","32.00000","-0.40000","4.70000","676.00000","산봉우리","37.5537586","126.9809696","서울특별시 중구 회현동1가 100-166","서울특별시","중구","12489697.00000","11957907.00000","4.40000","278980348.00000","166683585.00000","112296763.00000"
"이태원","202506","네이버카페","136.00000","17.00000","31.00000","-0.50000","4.30000","641.00000","폭포","33.246944","126.554417","제주특별자치도 서귀포시 남성중로 2-15","제주특별자치도","서귀포시","3592620.00000","3459879.00000","3.80000","35488485.00000","25406472.00000","10082013.00000"
"해운대해수욕장","202506","네이버카페","2.00000",,"1.00000","-1.00000","4.60000","2404.00000","공원","37.5509895","126.9908991","서울특별시 남산서울타워","서울특별시","중구","12489697.00000","11957907.00000","4.40000","278980348.00000","166683585.00000","112296763.00000"
"서울대학교","202506","네이버카페","11.00000",,,,"4.40000","2036.00000","공립대학교","37.4648267","126.9571988","서울특별시 관악구 관악로","서울특별시","관악구","5559624.00000","5040301.00000","10.30000","19034215.00000","18310727.00000","723488.00000"
"남원 광한루원","202506","네이버카페","2.00000",,,,"4.30000","5231.00000","정원","35.4151468","127.3862661","전북특별자치도 남원시 향교동 244-6","전북특별자치도","남원시","838876.00000","811132.00000","3.40000","3022859.00000","2999547.00000","23312.00000"
"독립기념관","202506","네이버카페","1.00000",,,,"4.60000","9600.00000","역사 박물관","36.7812042","127.2264822","충청남도 천안시 동남구 목천읍 독립기념관로 1 독립기념관","충청남도","천안시 동남구","4038328.00000","3816676.00000","5.80000","16246949.00000","15935407.00000","311542.00000"
"코엑스몰","202506","네이버카페","1.00000",,,,"4.30000","24002.00000","쇼핑몰","37.5113686","127.0595931","서울특별시 영동대로 513","서울특별시","강남구","18896423.00000","17919468.00000","5.50000","209075650.00000","115918048.00000","93157602.00000"
"강남","202506","네이버카페","3.00000",,,,"4.10000","596.00000","관광 명소","37.4966645","127.0629804","서울특별시 강남구 남부순환로 2949-2","서울특별시","강남구","18896423.00000","17919468.00000","5.50000","209075650.00000","115918048.00000","93157602.00000"
"강변","202506","네이버카페","1.00000",,,,"4.10000","816.00000","전자제품 판매점","37.535098","127.094695","서울특별시 광진구 강변역로 53 강변","서울특별시","광진구","6153885.00000","6143042.00000","0.20000","34698692.00000","21384414.00000","13314278.00000"
"전쟁기념관","202506","네이버카페","1.00000",,,,"4.60000","17557.00000","전쟁 박물관","37.5366059","126.9771397","서울특별시 용산구 이태원로 29","서울특별시","용산구","9952582.00000","8591303.00000","15.80000","58846729.00000","42422668.00000","16424061.00000"
