TRRSRT_NM,BASE_YM,CHNNEL_NM,BASE_YEAR_ACCMLT_FQ_CO,BASE_YM_FQ_CO,BASE_YEAR_BEFORE_MT_FQ_CO,BEFORE_MT_VERSUS_FQ_CO_IRDS_RT,AVRG_SCORE_VALUE,REVIEW_CO,PLACE_TY,LC_LA,LC_LO,ADDR,CTPRVN_NM,SIGNGU_NM,TURSM_CSTMR_CO,BEFORE_YEAR_MT_TURSM_CSTMR_CO,TURSM_CSTMR_CO_IRDS_RT,TURSM_SPND_PRICE,NATIVE_TURSM_SPND_PRICE,FRNR_TURSM_SPND_PRICE
"남한산성","202505","네이버카페","6.00000",,,,"4.40000","1742.00000","문화 유산 보존","37.4789","127.18","경기도 광주시 남한산성면 남한산성로 784-29","경기도","광주시","4519014.00000","3727853.00000","21.20000","16747066.00000","16446334.00000","300732.00000"
"해운대해수욕장","202505","네이버카페","0.00000",,,,"4.60000","2361.00000","해변","35.1719465","129.1741038","부산광역시 해운대구 좌동 998-11","부산광역시","해운대구","6387265.00000","5141202.00000","24.20000","78047067.00000","51295254.00000","26751813.00000"
"충무로","202505","네이버카페","0.00000",,,,"4.40000","9880.00000","관광 명소","37.5648394","126.9927416","서울특별시 중구 초동 19-24","서울특별시","중구","13128724.00000","12161355.00000","8.00000","295899298.00000","170462842.00000","125436456.00000"
"강남","202505","네이버카페","4.00000",,"4.00000","-1.00000","4.10000","595.00000","관광 명소","37.4966645","127.0629804","서울특별시 강남구 남부순환로 2949-2","서울특별시","강남구","19453777.00000","18179983.00000","7.00000","213904390.00000","117330411.00000","96573979.00000"
"남산","202505","네이버카페","0.00000",,,,"4.70000","676.00000","산봉우리","37.5537586","126.9809696","서울특별시 중구 회현동1가 100-166","서울특별시","중구","13128724.00000","12161355.00000","8.00000","295899298.00000","170462842.00000","125436456.00000"
"남해안","202505","네이버카페","0.00000",,,,"4.00000","5302.00000","관광 명소","34.8333771","127.899794","경상남도 남해군 남해읍 남변리 643-18","경상남도","남해군","875126.00000","671867.00000","30.30000","3562133.00000","3395800.00000","166333.00000"
"충주호","202505","네이버카페","4.00000",,,,"4.40000","33.00000","저수지","36.9595174","128.0666592","충청북도 충주시 동량면 명오리 444-1","충청북도","충주시","2994166.00000","2377987.00000","25.90000","14623766.00000","14245139.00000","378627.00000"
"경남수목원","202505","네이버카페","0.00000",,,,"4.40000","1603.00000","수목원","35.1606488","128.2954266","경상남도 진주시 이반성면 대천리 482-1 경상남도수목원","경상남도","진주시","2171284.00000","1698459.00000","27.80000","10496162.00000","10167235.00000","328927.00000"
"잠실","202505","네이버카페","4.00000",,"4.00000","-1.00000","4.40000","10066.00000","야구장","37.5067945","127.0830482","서울특별시 잠실본동 218-11","서울특별시","잠실본동","12189341.00000","11070535.00000","10.10000","103946957.00000","70970708.00000","32976249.00000"
"이태원","202505","네이버카페","0.00000",,,,"4.30000","287.00000","관광 명소","37.5385051","126.9925224","서울특별시 용산구 이태원동 213-4","서울특별시","용산구","10626241.00000","8889359.00000","19.50000","61617878.00000","44382808.00000","17235070.00000"
"성수동","202505","네이버카페","2.00000",,"2.00000","-1.00000","4.60000","22.00000","관광 명소","37.5406846","127.0566319","서울특별시 성동구 성수동2가 315-4","서울특별시","성동구","7032287.00000","6105130.00000","15.20000","37933403.00000","28467722.00000","9465681.00000"
"파크하얏트","202505","네이버카페","0.00000",,,,"4.40000","1834.00000","5성급 호텔","37.5085791","127.0641676","서울특별시 강남구 대치동 995-14","서울특별시","강남구","19453777.00000","18179983.00000","7.00000","213904390.00000","117330411.00000","96573979.00000"
"중문해수욕장","202505","네이버카페","0.00000",,,,"4.30000","969.00000","해변","33.2451968","126.4111861","제주특별자치도 서귀포시 색달동 3039-45","제주특별자치도","서귀포시","4038937.00000","3594356.00000","12.40000","36255589.00000","27225793.00000","9029796.00000"
"잠실","202505","뉴스","20.00000",,,,"4.40000","10066.00000","야구장","37.5067945","127.0830482","서울특별시 잠실본동 218-11","서울특별시","잠실본동","12189341.00000","11070535.00000","10.10000","103946957.00000","70970708.00000","32976249.00000"
"더현대서울","202505","뉴스","24.00000",,,,"4.40000","10392.00000","백화점","37.5260497","126.928296","서울특별시 영등포구 여의대로 108","서울특별시","영등포구","10714823.00000","9824311.00000","9.10000","90025697.00000","69097147.00000","20928550.00000"
"동대문","202505","뉴스","0.00000",,,,"4.40000","7594.00000","역사적 명소","37.5819561","127.054846","서울특별시 동대문구 전농동 141-189","서울특별시","동대문구","5325645.00000","4569274.00000","16.60000","19334953.00000","17689231.00000","1645722.00000"
"전주객사","202505","뉴스","6.00000",,"6.00000","-1.00000","4.10000","509.00000","역사적 명소","35.8205778","127.1447918","전북특별자치도 전주시 완산구 고사동 207","전북특별자치도","전주시","8068052.00000","6515260.00000","23.80000","28003162.00000","26948643.00000","1054519.00000"
"임진각 평화누리공원","202505","뉴스","39.00000",,,,"4.40000","7403.00000","공원","37.892","126.7415","경기도 파주시 문산읍 임진각로 148-40","경기도","파주시","5001062.00000","4107460.00000","21.80000","34034137.00000","31452820.00000","2581317.00000"
"남한산성","202505","뉴스","33.00000","33.00000",,"1.00000","4.40000","1742.00000","문화 유산 보존","37.4789","127.18","경기도 광주시 남한산성면 남한산성로 784-29","경기도","광주시","4519014.00000","3727853.00000","21.20000","16747066.00000","16446334.00000","300732.00000"
"논현","202505","뉴스","0.00000",,,,"3.70000","41.00000","수입업체","37.5136787","127.0317124","서울특별시 강남구 논현동 207-3","서울특별시","강남구","19453777.00000","18179983.00000","7.00000","213904390.00000","117330411.00000","96573979.00000"
"롯데월드","202505","뉴스","0.00000",,,,"4.30000","47131.00000","테마파크","37.5111158","127.098167","서울특별시 송파구 송파대로 521","서울특별시","송파구","12189341.00000","11070535.00000","10.10000","103946957.00000","70970708.00000","32976249.00000"
"충무로","202505","뉴스","72.00000","12.00000","22.00000","-0.50000","4.40000","9880.00000","관광 명소","37.5648394","126.9927416","서울특별시 중구 초동 19-24","서울특별시","중구","13128724.00000","12161355.00000","8.00000","295899298.00000","170462842.00000","125436456.00000"
"남산","202505","뉴스","98.00000","48.00000",,"1.00000","4.70000","676.00000","산봉우리","37.5537586","126.9809696","서울특별시 중구 회현동1가 100-166","서울특별시","중구","13128724.00000","12161355.00000","8.00000","295899298.00000","170462842.00000","125436456.00000"
"낙산공원","202505","뉴스","0.00000",,,,"4.50000","5830.00000","공원","37.5806571","127.0074835","서울특별시 종로구 낙산길 41 낙산공원","서울특별시","종로구","13493770.00000","11936438.00000","13.00000","81749242.00000","59228708.00000","22520534.00000"
"김포공항","202505","뉴스","0.00000",,,,"4.40000","11237.00000","국제공항","37.5655383","126.8013282","서울특별시 강서구 하늘길 112 김포국제공항 (GMP)","서울특별시","강서구","8395793.00000","6822221.00000","23.10000","66583386.00000","57533498.00000","9049888.00000"
"코엑스몰","202505","뉴스","90.00000","18.00000","62.00000","-0.70000","4.30000","23944.00000","쇼핑몰","37.5113686","127.0595931","서울특별시 영동대로 513","서울특별시","영동대로","19453777.00000","18179983.00000","7.00000","213904390.00000","117330411.00000","96573979.00000"
"국회의사당","202505","뉴스","0.00000",,,,"4.10000","396.00000","관공서","37.5318046","126.9141547","서울특별시 영등포구 여의동 1","서울특별시","영등포구","10714823.00000","9824311.00000","9.10000","90025697.00000","69097147.00000","20928550.00000"
"국회도서관","202505","뉴스","0.00000",,,,"4.50000","251.00000","국립 도서관","37.5311396","126.9170175","서울특별시 영등포구 여의동 1","서울특별시","영등포구","10714823.00000","9824311.00000","9.10000","90025697.00000","69097147.00000","20928550.00000"
"논현동","202505","뉴스","0.00000",,,,"3.70000","41.00000","수입업체","37.5136787","127.0317124","서울특별시 강남구 논현동 207-3","서울특별시","강남구","19453777.00000","18179983.00000","7.00000","213904390.00000","117330411.00000","96573979.00000"
"일산호수공원","202505","뉴스","0.00000",,,,"4.50000","7444.00000","공원","37.6567441","126.7662508","경기도 고양시 일산동구 호수로 595 일산호수공원","경기도","고양시","14998700.00000","12924919.00000","16.00000","70893078.00000","68318506.00000","2574572.00000"
"명동","202505","뉴스","0.00000",,,,"4.30000","24824.00000","관광 명소","37.55998","126.9858296","서울특별시 중구 남산동2가 10-4","서울특별시","중구","13128724.00000","12161355.00000","8.00000","295899298.00000","170462842.00000","125436456.00000"
"인천국제공항","202505","뉴스","18.00000",,,,"4.50000","31827.00000","국제공항","37.458666","126.4419679","인천광역시 중구 공항로 272 인천국제공항 (ICN)","인천광역시","중구","9083543.00000","7518427.00000","20.80000","125402626.00000","70143569.00000","55259057.00000"
"소공동","202505","뉴스","0.00000",,,,"4.60000","563.00000","역사적 명소","37.5644131","126.9749183","서울특별시 중구 덕수궁길 15","서울특별시","중구","13128724.00000","12161355.00000","8.00000","295899298.00000","170462842.00000","125436456.00000"
"성수동","202505","뉴스","266.00000","14.00000","170.00000","-0.90000","4.60000","22.00000","관광 명소","37.5406846","127.0566319","서울특별시 성동구 성수동2가 315-4","서울특별시","성동구","7032287.00000","6105130.00000","15.20000","37933403.00000","28467722.00000","9465681.00000"
"서울회생법원","202505","뉴스","0.00000",,,,"4.50000","8.00000","법원","37.4982093","127.0112872","서울특별시 서초구 서초중앙로 157","서울특별시","서초구","16509244.00000","15152802.00000","9.00000","120976205.00000","97933093.00000","23043112.00000"
"시립미술관","202505","뉴스","0.00000",,,,"4.60000","1927.00000","미술관","35.1667329","129.1370714","부산광역시 해운대구 APEC로 58","부산광역시","해운대구","6387265.00000","5141202.00000","24.20000","78047067.00000","51295254.00000","26751813.00000"
"신촌","202505","뉴스","0.00000",,,,"4.70000","1683.00000","대학교","37.5650797","126.9399549","서울특별시 서대문구 연세로 50-1","서울특별시","서대문구","7902072.00000","6878830.00000","14.90000","26026328.00000","18950936.00000","7075392.00000"
"서울대학교","202505","뉴스","0.00000",,,,"4.40000","2028.00000","공립대학교","37.4648267","126.9571988","서울특별시 관악구 관악로","서울특별시","관악구","6209903.00000","5196943.00000","19.50000","19901021.00000","19200009.00000","701012.00000"
"압구정동","202505","뉴스","16.00000","16.00000",,"1.00000","4.30000","224.00000","관광 명소","37.5271478","127.0334517","서울특별시 강남구 신사동 언주로 861","서울특별시","강남구","19453777.00000","18179983.00000","7.00000","213904390.00000","117330411.00000","96573979.00000"
"서대문자연사박물관","202505","뉴스","20.00000",,,,"4.30000","2948.00000","자연사 박물관","37.576673","126.9374741","서울특별시 서대문구 연희동 141-52","서울특별시","서대문구","7902072.00000","6878830.00000","14.90000","26026328.00000","18950936.00000","7075392.00000"
"샤롯데씨어터","202505","뉴스","48.00000","48.00000",,"1.00000","4.40000","3832.00000","공연예술 극장","37.5107077","127.0998494","서울특별시 송파구 올림픽로 240","서울특별시","송파구","12189341.00000","11070535.00000","10.10000","103946957.00000","70970708.00000","32976249.00000"
"어린이대공원","202505","뉴스","0.00000",,,,"4.50000","12906.00000","놀이공원","37.549363","127.0818126","서울특별시 능동 18번지 어린이대공원놀이동산 광진구 서울특별시 KR","서울특별시","능동","7109840.00000","5887682.00000","20.80000","37160389.00000","23762863.00000","13397526.00000"
"상암월드컵경기장","202505","뉴스","6.00000",,,,"4.40000","9203.00000","경기장","37.4462","126.3727","서울특별시 마포구 월드컵로 240","서울특별시","마포구","11146674.00000","9594620.00000","16.20000","76579236.00000","51272809.00000","25306427.00000"
"롯데호텔서울","202505","뉴스","0.00000",,,,"4.50000","8571.00000","5성급 호텔","37.5653","126.980979","서울특별시 중구 을지로1가 180-6","서울특별시","중구","13128724.00000","12161355.00000","8.00000","295899298.00000","170462842.00000","125436456.00000"
"삼성서울병원","202505","뉴스","28.00000",,,,"4.00000","514.00000","종합병원","37.4881193","127.0849885","서울특별시 강남구 일원로 81 삼성서울병원","서울특별시","강남구","19453777.00000","18179983.00000","7.00000","213904390.00000","117330411.00000","96573979.00000"
"북촌한옥마을","202505","뉴스","32.00000","8.00000","24.00000","-0.70000","4.40000","20515.00000","명소","37.5814696","126.9849519","서울특별시 종로구 가회동 30-9","서울특별시","종로구","13493770.00000","11936438.00000","13.00000","81749242.00000","59228708.00000","22520534.00000"
"올림픽공원","202505","뉴스","0.00000",,,,"4.60000","2903.00000","시티 공원","37.5206868","127.1214941","서울특별시 송파구 방이동 88-3","서울특별시","송파구","12189341.00000","11070535.00000","10.10000","103946957.00000","70970708.00000","32976249.00000"
"부천시청","202505","뉴스","0.00000",,,,"4.20000","356.00000","시청","37.504681","126.763618","경기도 부천시 원미구 중동 길주로 부천시청","경기도","부천시","10888738.00000","9286623.00000","17.30000","45852151.00000","42745896.00000","3106255.00000"
