순위,기준년월,시도명,시군구명,관광지ID,관심지점명,구분,연령대,성장율
1,202602,서울특별시,송파구,c642e34bdb9bfd17a5f948db84bb3e3f,석촌호수서호,관광명소,20,116.5	
2,202602,서울특별시,종로구,736f75dd6cb9021ed7af6f70a6a6cde4,치지직롤파크,레저/스포츠,20,92.6	
3,202602,서울특별시,마포구,359b1865069038b502122f54dc6a0655,홍대클럽거리,놀거리,20,88.2	
4,202602,서울특별시,서대문구,8930f0b4a98b760f2a7bf5345eceb251,서대문형무소역사관,문화생활시설,20,82.4	
5,202602,서울특별시,송파구,722bf99b65d6cc66415052855d9055bd,송파나루공원동호,관광명소,20,60.6	
6,202602,서울특별시,용산구,0e105f50aee89d36873278b77072de7f,남산공원,관광명소,20,59.6	
7,202602,서울특별시,서초구,ac50c8b01e74f605a64ac86543f58c2a,헌릉과 인릉,관광명소,20,57.8	
8,202602,서울특별시,강북구,f3e805aa5152dd56293bfbc96bc4761f,도선사,종교,20,55.7	
9,202602,서울특별시,구로구,86d742ac9b8bfe2759a2764a25cc7e71,고척근린공원,관광명소,20,55.3	
10,202602,서울특별시,도봉구,edd5d7d65db4dfed1671f66b2635d91b,CGV방학,문화생활시설,20,53.3	
