TRRSRT_NM,BASE_YM,CHNNEL_NM,BASE_YEAR_ACCMLT_FQ_CO,BASE_YM_FQ_CO,BASE_YEAR_BEFORE_MT_FQ_CO,BEFORE_MT_VERSUS_FQ_CO_IRDS_RT,AVRG_SCORE_VALUE,REVIEW_CO,PLACE_TY,LC_LA,LC_LO,ADDR,CTPRVN_NM,SIGNGU_NM,TURSM_CSTMR_CO,BEFORE_YEAR_MT_TURSM_CSTMR_CO,TURSM_CSTMR_CO_IRDS_RT,TURSM_SPND_PRICE,NATIVE_TURSM_SPND_PRICE,FRNR_TURSM_SPND_PRICE
"독립기념관","202507","네이버카페","1.00000",,,,"4.60000","9602.00000","역사 박물관","36.7812042","127.2264822","충청남도 천안시 동남구 목천읍 독립기념관로 1 독립기념관","충청남도","천안시 동남구","3989181.00000","3685874.00000","8.20000","313231.00000","288540.00000","24691.00000"
"군산근대역사박물관","202507","네이버카페","1.00000",,,,"4.10000","5377.00000","지역사 박물관","35.9906994","126.7119653","전북특별자치도 군산시 장미동 1-67","전북특별자치도","군산시","2132459.00000","1980457.00000","7.70000","969266.00000","960564.00000","8702.00000"
"남산","202507","네이버카페","149.00000","10.00000","19.00000","-0.50000","4.70000","678.00000","산봉우리","37.5537586","126.9809696","서울특별시 중구 회현동1가 100-166","서울특별시","중구","12740409.00000","11694557.00000","8.90000","124576368.00000","104062291.00000","20514077.00000"
"남원 광한루원","202507","네이버카페","2.00000",,,,"4.30000","5237.00000","정원","35.4151468","127.3862661","전북특별자치도 남원시 향교동 244-6","전북특별자치도","남원시","955878.00000","866502.00000","10.30000","37336.00000","22803.00000","14533.00000"
"코엑스몰","202507","네이버카페","1.00000",,,,"4.30000","24091.00000","쇼핑몰","37.5113686","127.0595931","서울특별시 영동대로 513","서울특별시","강남구","20744601.00000","19142851.00000","8.40000","97290219.00000","4132617.00000","93157602.00000"
"남한산성","202507","네이버카페","7.00000",,"2.00000","-1.00000","4.40000","1758.00000","문화 유산 보존","37.4789","127.18","경기도 광주시 남한산성면 남한산성로 784-29","경기도","광주시","4024121.00000","3712138.00000","8.40000","513206.00000","264438.00000","248768.00000"
"청와대","202507","네이버카페","1.00000",,"1.00000","-1.00000","4.30000","6592.00000","관광 명소","37.5866076","126.974811","서울특별시 종로구 청와대로 1","서울특별시","종로구","11929855.00000","10860055.00000","9.90000","21049347.00000","20600305.00000","449042.00000"
"정자역","202507","네이버카페","1.00000",,,,"4.40000","27.00000","교통 허브","37.366766","127.108265","성남시 정자역","경기도","성남시 분당구","8022521.00000","7338520.00000","9.30000","19627325.00000","9163924.00000","10463401.00000"
"해운대해수욕장","202507","네이버카페","3.00000","1.00000",,"1.00000","4.60000","2453.00000","공원","37.5509895","126.9908991","서울특별시 남산서울타워","서울특별시","중구","12740409.00000","11694557.00000","8.90000","124576368.00000","104062291.00000","20514077.00000"
"전쟁기념관","202507","네이버카페","1.00000",,,,"4.60000","17637.00000","전쟁 박물관","37.5366059","126.9771397","서울특별시 용산구 이태원로 29","서울특별시","용산구","10113337.00000","8725101.00000","15.90000","39515681.00000","14975294.00000","24540387.00000"
"부산 국제시장","202507","네이버카페","4.00000",,,,"4.10000","12613.00000","시장","35.1731121","129.0714122","부산광역시 양정역","부산광역시","부산진구","6542669.00000","5907300.00000","10.80000","33768415.00000","16602044.00000","17166371.00000"
"강변","202507","네이버카페","1.00000",,,,"4.10000","819.00000","전자제품 판매점","37.535098","127.094695","서울특별시 광진구 강변역로 53 강변","서울특별시","광진구","6221509.00000","5654082.00000","10.00000","12224064.00000","11598064.00000","626000.00000"
"강남","202507","네이버카페","4.00000","1.00000",,"1.00000","4.10000","597.00000","관광 명소","37.4966645","127.0629804","서울특별시 강남구 남부순환로 2949-2","서울특별시","강남구","20744601.00000","19142851.00000","8.40000","97290219.00000","4132617.00000","93157602.00000"
"이태원","202507","네이버카페","145.00000","9.00000","17.00000","-0.50000","4.30000","650.00000","폭포","33.246944","126.554417","제주특별자치도 서귀포시 남성중로 2-15","제주특별자치도","서귀포시","3849930.00000","3590912.00000","7.20000","11480514.00000","11476410.00000","4104.00000"
"서울대학교","202507","네이버카페","11.00000",,,,"4.40000","2044.00000","공립대학교","37.4648267","126.9571988","서울특별시 관악구 관악로","서울특별시","관악구","5917775.00000","5228030.00000","13.20000","8845043.00000","728097.00000","8116946.00000"
"부천시청","202507","뉴스","1.00000","1.00000",,"1.00000","4.20000","358.00000","시청","37.504681","126.763618","경기도 부천시 원미구 중동 길주로 부천시청","경기도","부천시 원미구","5639021.00000","5310361.00000","6.20000","5295581.00000","2556785.00000","2738796.00000"
"압구정동","202507","뉴스","1.00000",,,,"4.30000","235.00000","관광 명소","37.5271478","127.0334517","서울특별시 강남구 신사동 언주로 861","서울특별시","강남구","20744601.00000","19142851.00000","8.40000","97290219.00000","4132617.00000","93157602.00000"
"아침고요수목원","202507","뉴스","7.00000","7.00000",,"1.00000","4.40000","16903.00000","수목원","37.7439678","127.3524864","경기도 가평군 상면 수목원로 432 아침고요수목원","경기도","가평군","2688308.00000","2482872.00000","8.30000","655573.00000","285133.00000","370440.00000"
"코엑스몰","202507","뉴스","6.00000","2.00000","3.00000","-0.30000","4.30000","24091.00000","쇼핑몰","37.5113686","127.0595931","서울특별시 영동대로 513","서울특별시","강남구","20744601.00000","19142851.00000","8.40000","97290219.00000","4132617.00000","93157602.00000"
"남이섬","202507","뉴스","2.00000","2.00000",,"1.00000","4.40000","36800.00000","자연보호구역","37.7899352","127.5258072","춘천시 남산면 방하리 197번지 남이섬내 춘천시 강원도 KR","경기도","가평군","2688308.00000","2482872.00000","8.30000","655573.00000","285133.00000","370440.00000"
"신촌","202507","뉴스","3.00000","3.00000",,"1.00000","4.70000","1730.00000","대학교","37.5650797","126.9399549","서울특별시 서대문구 연세로 50-1","서울특별시","서대문구","7752321.00000","7170096.00000","8.10000","32367153.00000","7080703.00000","25286450.00000"
"남한산성","202507","뉴스","1.00000",,,,"4.40000","1758.00000","문화 유산 보존","37.4789","127.18","경기도 광주시 남한산성면 남한산성로 784-29","경기도","광주시","4024121.00000","3712138.00000","8.40000","513206.00000","264438.00000","248768.00000"
"성수동","202507","뉴스","1.00000",,,,"4.60000","25.00000","관광 명소","37.5406846","127.0566319","서울특별시 성동구 성수동2가 315-4","서울특별시","성동구","6505558.00000","5089098.00000","27.80000","30228141.00000","9961119.00000","20267022.00000"
"독립기념관","202507","뉴스","1.00000",,,,"4.60000","9602.00000","역사 박물관","36.7812042","127.2264822","충청남도 천안시 동남구 목천읍 독립기념관로 1 독립기념관","충청남도","천안시 동남구","3989181.00000","3685874.00000","8.20000","313231.00000","288540.00000","24691.00000"
"섭지코지","202507","뉴스","3.00000","3.00000",,"1.00000","4.40000","15947.00000","명승지","33.4242095","126.931111","제주특별자치도 서귀포시 성산읍 섭지코지로 섭지코지","제주특별자치도","서귀포시","3849930.00000","3590912.00000","7.20000","11480514.00000","11476410.00000","4104.00000"
"인사동","202507","뉴스","1.00000",,,,"4.30000","13174.00000","관광 명소","37.5717174","126.9860732","서울특별시 종로구 인사동 153-10","서울특별시","종로구","11929855.00000","10860055.00000","9.90000","21049347.00000","20600305.00000","449042.00000"
"국립중앙박물관","202507","뉴스","2.00000","2.00000",,"1.00000","4.70000","26719.00000","국립박물관","37.5238506","126.9804702","서울특별시 용산구 서빙고로 137","서울특별시","용산구","10113337.00000","8725101.00000","15.90000","39515681.00000","14975294.00000","24540387.00000"
"부산 국제시장","202507","뉴스","3.00000",,"3.00000","-1.00000","4.10000","12613.00000","시장","35.1731121","129.0714122","부산광역시 양정역","부산광역시","부산진구","6542669.00000","5907300.00000","10.80000","33768415.00000","16602044.00000","17166371.00000"
"청주국제공항","202507","뉴스","3.00000",,,,"4.40000","2728.00000","국제 공항","36.7164","127.4989","충청북도 청주시 청원구 내수읍 오창대로 980","충청북도","청주시 청원구","2489592.00000","2313059.00000","7.60000","398731.00000","351508.00000","47223.00000"
"포시즌스호텔","202507","뉴스","3.00000","3.00000",,"1.00000","4.60000","7062.00000","5성급 호텔","37.5706978","126.9755073","서울특별시 종로구 당주동 새문안로 97","서울특별시","종로구","11929855.00000","10860055.00000","9.90000","21049347.00000","20600305.00000","449042.00000"
"예술의전당","202507","뉴스","1.00000","1.00000",,"1.00000","4.60000","11997.00000","아트 센터","37.4792903","127.0128613","서울특별시 서초구 남부순환로 2406","서울특별시","서초구","16840390.00000","14292519.00000","17.80000","28699054.00000","22932059.00000","5766995.00000"
