TRRSRT_NM,BASE_YM,CHNNEL_NM,BASE_YEAR_ACCMLT_FQ_CO,BASE_YM_FQ_CO,BASE_YEAR_BEFORE_MT_FQ_CO,BEFORE_MT_VERSUS_FQ_CO_IRDS_RT,AVRG_SCORE_VALUE,REVIEW_CO,PLACE_TY,LC_LA,LC_LO,ADDR,CTPRVN_NM,SIGNGU_NM,TURSM_CSTMR_CO,BEFORE_YEAR_MT_TURSM_CSTMR_CO,TURSM_CSTMR_CO_IRDS_RT,TURSM_SPND_PRICE,NATIVE_TURSM_SPND_PRICE,FRNR_TURSM_SPND_PRICE
"하남스타필드","202509","네이버카페","1.00000","1.00000",,"1.00000","4.30000","18644.00000","쇼핑몰","37.5454054","127.223858","경기도 하남시 미사대로 750 스타필드 하남 1층","경기도","하남시","4758288.00000","4547459.00000","4.60000","123983732.00000","123186299.00000","797433.00000"
"서울대학교","202509","네이버카페","11.00000",,,,"4.40000","2057.00000","공립대학교","37.4648267","126.9571988","서울특별시 관악구 관악로","서울특별시","관악구","5949744.00000","5465222.00000","8.90000","71989221.00000","70126848.00000","1862373.00000"
"해운대해수욕장","202509","네이버카페","6.00000",,"3.00000","-1.00000","4.60000","2553.00000","해변","35.1719465","129.1741038","부산광역시 해운대구 좌동 998-11","부산광역시","해운대구","5872790.00000","5775126.00000","1.70000","220387948.00000","187886769.00000","32501179.00000"
"남산","202509","네이버카페","149.00000",,,,"4.70000","692.00000","산봉우리","37.5537586","126.9809696","서울특별시 중구 회현동1가 100-166","서울특별시","중구","13255487.00000","11719155.00000","13.10000","845881789.00000","612421734.00000","233460055.00000"
"전쟁기념관","202509","네이버카페","1.00000",,,,"4.60000","17765.00000","전쟁 박물관","37.5366059","126.9771397","서울특별시 용산구 이태원로 29","서울특별시","용산구","10208618.00000","8756051.00000","16.60000","187345672.00000","154643306.00000","32702366.00000"
"남원 광한루원","202509","네이버카페","2.00000",,,,"4.30000","5259.00000","정원","35.4151468","127.3862661","전북특별자치도 남원시 향교동 244-6","전북특별자치도","남원시","783468.00000","979524.00000","-20.00000","13667421.00000","13630960.00000","36461.00000"
"합천영상테마파크","202509","네이버카페","1.00000",,"1.00000","-1.00000","4.10000","4002.00000","테마파크","35.5492109","128.07312","경상남도 합천군 용주면 합천호수로 757","경상남도","합천군","523540.00000","681005.00000","-23.10000","4369466.00000","4348121.00000","21345.00000"
"군산근대역사박물관","202509","네이버카페","1.00000",,,,"4.10000","5393.00000","지역사 박물관","35.9906994","126.7119653","전북특별자치도 군산시 장미동 1-67","전북특별자치도","군산시","2273680.00000","2521305.00000","-9.80000","46243267.00000","44926328.00000","1316939.00000"
"남한산성","202509","네이버카페","7.00000",,,,"4.40000","1774.00000","문화 유산 보존","37.4789","127.18","경기도 광주시 남한산성면 남한산성로 784-29","경기도","광주시","3800268.00000","4041600.00000","-6.00000","70074317.00000","69723708.00000","350609.00000"
"인천국제공항","202509","네이버카페","4.00000","3.00000","1.00000","2.00000","4.50000","32299.00000","국제공항","37.458666","126.4419679","인천광역시 중구 공항로 272 인천국제공항 (ICN)","인천광역시","중구","8452741.00000","8885915.00000","-4.90000","267043986.00000","199860666.00000","67183320.00000"
"정자역","202509","네이버카페","1.00000",,,,"4.40000","27.00000","교통 허브","37.366766","127.108265","성남시 정자역","경기도","성남시 분당구","7696356.00000","6935316.00000","11.00000","234514467.00000","220827539.00000","13686928.00000"
"코엑스몰","202509","네이버카페","2.00000","1.00000",,"1.00000","4.30000","24288.00000","쇼핑몰","37.5113686","127.0595931","서울특별시 영동대로 513","서울특별시","강남구","19706326.00000","16899246.00000","16.60000","753167390.00000","518494937.00000","234672453.00000"
"북촌한옥마을","202509","네이버카페","2.00000","2.00000",,"1.00000","4.40000","23166.00000","명소","37.5814696","126.9849519","서울특별시 종로구 가회동 30-9","서울특별시","종로구","13168417.00000","11367321.00000","15.80000","251204859.00000","206053396.00000","45151463.00000"
"서울숲공원","202509","네이버카페","6.00000",,"6.00000","-1.00000","4.60000","10503.00000","공원","37.5443878","127.0374424","서울특별시 성동구 성수동1가 678-1","서울특별시","성동구","7151382.00000","5667382.00000","26.20000","137598397.00000","102363377.00000","35235020.00000"
"건대입구","202509","네이버카페","1.00000","1.00000",,"1.00000","4.10000","839.00000","쇼핑몰","37.540372","127.069276","서울특별시 화양동 건대입구","서울특별시","광진구","6786230.00000","6092397.00000","11.40000","109883979.00000","94172663.00000","15711316.00000"
"독립기념관","202509","네이버카페","1.00000",,,,"4.60000","9601.00000","역사 박물관","36.7812042","127.2264822","충청남도 천안시 동남구 목천읍 독립기념관로 1 독립기념관","충청남도","천안시 동남구","4445182.00000","4274067.00000","4.00000","74690171.00000","73982493.00000","707678.00000"
"진주성","202509","네이버카페","1.00000",,"1.00000","-1.00000","4.50000","4081.00000","역사적 명소","35.1890244","128.078001","경상남도 진주시 남강로 626","경상남도","진주시","1961330.00000","2121805.00000","-7.60000","29694140.00000","29259421.00000","434719.00000"
