TRRSRT_NM,BASE_YM,CHNNEL_NM,BASE_YEAR_ACCMLT_FQ_CO,BASE_YM_FQ_CO,BASE_YEAR_BEFORE_MT_FQ_CO,BEFORE_MT_VERSUS_FQ_CO_IRDS_RT,AVRG_SCORE_VALUE,REVIEW_CO,PLACE_TY,LC_LA,LC_LO,ADDR,CTPRVN_NM,SIGNGU_NM,TURSM_CSTMR_CO,BEFORE_YEAR_MT_TURSM_CSTMR_CO,TURSM_CSTMR_CO_IRDS_RT,TURSM_SPND_PRICE,NATIVE_TURSM_SPND_PRICE,FRNR_TURSM_SPND_PRICE
"올림픽공원","202601","기타","1.00000","1.00000",,"1.00000","4.60000","2983.00000","시티 공원","37.5206868","127.1214941","서울특별시 송파구 방이동 88-3","서울특별시","송파구","11062128.00000","9797375.00000","12.90000","313628171.00000","281546563.00000","32081608.00000"
"남한산성","202601","기타","1.00000","1.00000",,"1.00000","4.40000","1795.00000","문화 유산 보존","37.4789","127.18","경기도 광주시 남한산성면 남한산성로 784-29","경기도","광주시","3566612.00000","3900946.00000","-8.60000","69193193.00000","68905396.00000","287797.00000"
"삼청동길","202601","기타","1.00000","1.00000",,"1.00000","4.30000","2139.00000","관광 명소","37.5837936","126.9819183","서울특별시 종로구 삼청동 63-40","서울특별시","종로구","11556174.00000","10435054.00000","10.70000","232237204.00000","196747545.00000","35489659.00000"
"부산 국제시장","202601","기타","1.00000","1.00000",,"1.00000","4.10000","12828.00000","시장","35.1731121","129.0714122","부산광역시 양정역","부산광역시","부산진구","6543162.00000","6238068.00000","4.90000","114644390.00000","94320901.00000","20323489.00000"
"서울대학교","202601","기타","1.00000","1.00000",,"1.00000","4.40000","2002.00000","공립대학교","37.4648267","126.9571988","서울특별시 관악구 관악로","서울특별시","관악구","5614749.00000","5092846.00000","10.20000","69574477.00000","68325262.00000","1249215.00000"
"홍대역","202601","네이버카페","23.00000","23.00000",,"1.00000","4.50000","9000.00000","관광 명소","37.557527","126.9244669","서울특별시 홍대입구역","서울특별시","마포구","9922500.00000","9116933.00000","8.80000","226017306.00000","178305796.00000","47711510.00000"
"압구정동","202601","네이버카페","9.00000","9.00000",,"1.00000","4.30000","271.00000","관광 명소","37.5271478","127.0334517","서울특별시 강남구 신사동 언주로 861","서울특별시","강남구","19514089.00000","17327720.00000","12.60000","724565525.00000","532157143.00000","192408382.00000"
"광화문","202601","네이버카페","35.00000","35.00000",,"1.00000","4.50000","13864.00000","역사적 명소","37.572389","126.9769117","서울특별시 종로구 세종대로 172","서울특별시","종로구","11556174.00000","10435054.00000","10.70000","232237204.00000","196747545.00000","35489659.00000"
"용인 에버랜드","202601","네이버카페","5.00000","5.00000",,"1.00000","4.50000","63709.00000","놀이공원","37.2939104","127.2025664","경기도 용인시 처인구 포곡읍 에버랜드로 199","경기도","용인시 처인구","3753631.00000","3455554.00000","8.60000","80214890.00000","79572501.00000","642389.00000"
"하늘공원","202601","네이버카페","4.00000","4.00000",,"1.00000","4.50000","8267.00000","공원","37.5677554","126.8856819","서울특별시 마포구 상암동 481-72","서울특별시","마포구","9922500.00000","9116933.00000","8.80000","226017306.00000","178305796.00000","47711510.00000"
