TRRSRT_NM,BASE_YM,CHNNEL_NM,BASE_YEAR_ACCMLT_FQ_CO,BASE_YM_FQ_CO,BASE_YEAR_BEFORE_MT_FQ_CO,BEFORE_MT_VERSUS_FQ_CO_IRDS_RT,AVRG_SCORE_VALUE,REVIEW_CO,PLACE_TY,LC_LA,LC_LO,ADDR,CTPRVN_NM,SIGNGU_NM,TURSM_CSTMR_CO,BEFORE_YEAR_MT_TURSM_CSTMR_CO,TURSM_CSTMR_CO_IRDS_RT,TURSM_SPND_PRICE,NATIVE_TURSM_SPND_PRICE,FRNR_TURSM_SPND_PRICE
"부산 국제시장","202508","네이버카페","5.00000","1.00000",,"1.00000","4.10000","12654.00000","시장","35.1731121","129.0714122","부산광역시 양정역","부산광역시","부산진구","6627425.00000","37194132.00000","-82.20000","122248715.00000","91839150.00000","30409565.00000"
"국립중앙박물관","202508","네이버카페","6.00000","6.00000",,"1.00000","4.70000","26980.00000","국립박물관","37.5238506","126.9804702","서울특별시 용산구 서빙고로 137","서울특별시","용산구","10508547.00000","52165178.00000","-79.90000","194775074.00000","167649755.00000","27125319.00000"
"정자역","202508","네이버카페","1.00000",,,,"4.40000","27.00000","교통 허브","37.366766","127.108265","성남시 정자역","경기도","성남시 분당구","7547274.00000","66829417.00000","-88.70000","240098788.00000","227160407.00000","12938381.00000"
"전쟁기념관","202508","네이버카페","1.00000",,,,"4.60000","17708.00000","전쟁 박물관","37.5366059","126.9771397","서울특별시 용산구 이태원로 29","서울특별시","용산구","10508547.00000","52165178.00000","-79.90000","194775074.00000","167649755.00000","27125319.00000"
"군산근대역사박물관","202508","네이버카페","1.00000",,,,"4.10000","5384.00000","지역사 박물관","35.9906994","126.7119653","전북특별자치도 군산시 장미동 1-67","전북특별자치도","군산시","2473474.00000","12309014.00000","-79.90000","48748265.00000","47301146.00000","1447119.00000"
"코엑스몰","202508","네이버카페","1.00000",,,,"4.30000","24192.00000","쇼핑몰","37.5113686","127.0595931","서울특별시 영동대로 513","서울특별시","강남구","19150645.00000","154510026.00000","-87.60000","738811805.00000","520203899.00000","218607906.00000"
"인천국제공항","202508","네이버카페","1.00000","1.00000",,"1.00000","4.50000","32183.00000","국제공항","37.458666","126.4419679","인천광역시 중구 공항로 272 인천국제공항 (ICN)","인천광역시","중구","9445583.00000","81403662.00000","-88.40000","306389445.00000","222659440.00000","83730005.00000"
"남산","202508","네이버카페","149.00000",,"10.00000","-1.00000","4.70000","684.00000","산봉우리","37.5537586","126.9809696","서울특별시 중구 회현동1가 100-166","서울특별시","중구","12362896.00000","178598095.00000","-93.10000","855325747.00000","614363605.00000","240962142.00000"
"이태원","202508","네이버카페","146.00000","1.00000","9.00000","-0.90000","3.90000","29899.00000","관광 명소","37.5385051","126.9925224","서울특별시 용산구 이태원동 213-4","서울특별시","용산구","10508547.00000","52165178.00000","-79.90000","194775074.00000","167649755.00000","27125319.00000"
"남한산성","202508","네이버카페","7.00000",,,,"4.40000","1765.00000","문화 유산 보존","37.4789","127.18","경기도 광주시 남한산성면 남한산성로 784-29","경기도","광주시","4123441.00000","19131623.00000","-78.40000","75752797.00000","75311577.00000","441220.00000"
"청와대","202508","네이버카페","1.00000",,,,"4.30000","6591.00000","관광 명소","37.5866076","126.974811","서울특별시 종로구 청와대로 1","서울특별시","종로구","11764987.00000","60182490.00000","-80.50000","235835710.00000","195727025.00000","40108685.00000"
"덕수궁","202508","네이버카페","6.00000","6.00000",,"1.00000","4.60000","19860.00000","문화적 랜드마크","37.5658049","126.9751461","서울특별시 중구 세종대로 99","서울특별시","중구","12362896.00000","178598095.00000","-93.10000","855325747.00000","614363605.00000","240962142.00000"
"합천영상테마파크","202508","네이버카페","1.00000","1.00000",,"1.00000","4.10000","3991.00000","테마파크","35.5492109","128.07312","경상남도 합천군 용주면 합천호수로 757","경상남도","합천군","604023.00000","2032368.00000","-70.30000","5266256.00000","5242312.00000","23944.00000"
"진주성","202508","네이버카페","1.00000","1.00000",,"1.00000","4.50000","4070.00000","역사적 명소","35.1890244","128.078001","경상남도 진주시 남강로 626","경상남도","진주시","1988245.00000","10724332.00000","-81.50000","30601990.00000","30230073.00000","371917.00000"
"독립기념관","202508","네이버카페","1.00000",,,,"4.60000","9597.00000","역사 박물관","36.7812042","127.2264822","충청남도 천안시 동남구 목천읍 독립기념관로 1 독립기념관","충청남도","천안시 동남구","4298385.00000","20996826.00000","-79.50000","76480822.00000","75919783.00000","561039.00000"
"해운대해수욕장","202508","네이버카페","6.00000","3.00000","1.00000","2.00000","4.40000","1432.00000","해변","35.1719465","129.1741038","부산광역시 해운대구 좌동 998-11","부산광역시","해운대구","6999748.00000","61210438.00000","-88.60000","240070377.00000","205750311.00000","34320066.00000"
"강남","202508","네이버카페","4.00000",,"1.00000","-1.00000","4.10000","598.00000","관광 명소","37.4966645","127.0629804","서울특별시 강남구 남부순환로 2949-2","서울특별시","강남구","19150645.00000","154510026.00000","-87.60000","738811805.00000","520203899.00000","218607906.00000"
"강변","202508","네이버카페","1.00000",,,,"4.10000","823.00000","전자제품 판매점","37.535098","127.094695","서울특별시 광진구 강변역로 53 강변","서울특별시","광진구","6259309.00000","26077417.00000","-76.00000","107761248.00000","93279616.00000","14481632.00000"
"서울대학교","202508","네이버카페","11.00000",,,,"4.40000","2053.00000","공립대학교","37.4648267","126.9571988","서울특별시 관악구 관악로","서울특별시","관악구","5744767.00000","22294585.00000","-74.20000","72517440.00000","71147834.00000","1369606.00000"
"롯데워터파크 김해","202508","네이버카페","1.00000","1.00000",,"1.00000","4.20000","5375.00000","워터파크","35.1808236","128.8292747","경상남도 김해시 장유로 555","경상남도","김해시","4166414.00000","22439904.00000","-81.40000","85378937.00000","84467783.00000","911154.00000"
"거제","202508","네이버카페","2.00000","2.00000",,"1.00000","4.30000","216.00000","섬","34.8931951","128.6091247","경상남도 거제시 장평동 7-9","경상남도","거제시","2371008.00000","13019409.00000","-81.80000","34654413.00000","32896825.00000","1757588.00000"
"서울숲공원","202508","네이버카페","6.00000","6.00000",,"1.00000","4.60000","10449.00000","공원","37.5443878","127.0374424","서울특별시 성동구 성수동1가 678-1","서울특별시","성동구","6415762.00000","29677732.00000","-78.40000","134225390.00000","99483916.00000","34741474.00000"
"해인사","202508","네이버카페","2.00000","2.00000",,"1.00000","4.60000","4105.00000","불교사찰","35.8011781","128.098098","경상남도 합천군 가야면 해인사길 122","경상남도","합천군","604023.00000","2032368.00000","-70.30000","5266256.00000","5242312.00000","23944.00000"
"부천시청","202508","뉴스","1.00000",,"1.00000","-1.00000","4.20000","358.00000","시청","37.504681","126.763618","경기도 부천시 원미구 중동 길주로 부천시청","경기도","부천시 원미구","5542680.00000","31641335.00000","-82.50000","100273927.00000","96873350.00000","3400577.00000"
"국립중앙박물관","202508","뉴스","2.00000",,"2.00000","-1.00000","4.70000","26980.00000","국립박물관","37.5238506","126.9804702","서울특별시 용산구 서빙고로 137","서울특별시","용산구","10508547.00000","52165178.00000","-79.90000","194775074.00000","167649755.00000","27125319.00000"
"서울관광재단","202508","뉴스","12.00000","12.00000",,"1.00000","4.90000","13.00000","재단","37.5685861","126.9871543","서울특별시 종로구 청계천로 85","서울특별시","종로구","11764987.00000","60182490.00000","-80.50000","235835710.00000","195727025.00000","40108685.00000"
"부산 국제시장","202508","뉴스","3.00000",,,,"4.10000","12654.00000","시장","35.1731121","129.0714122","부산광역시 양정역","부산광역시","부산진구","6627425.00000","37194132.00000","-82.20000","122248715.00000","91839150.00000","30409565.00000"
"인사동","202508","뉴스","1.00000",,,,"4.30000","13241.00000","관광 명소","37.5717174","126.9860732","서울특별시 종로구 인사동 153-10","서울특별시","종로구","11764987.00000","60182490.00000","-80.50000","235835710.00000","195727025.00000","40108685.00000"
"독립기념관","202508","뉴스","1.00000",,,,"4.60000","9597.00000","역사 박물관","36.7812042","127.2264822","충청남도 천안시 동남구 목천읍 독립기념관로 1 독립기념관","충청남도","천안시 동남구","4298385.00000","20996826.00000","-79.50000","76480822.00000","75919783.00000","561039.00000"
"남이섬","202508","뉴스","2.00000",,"2.00000","-1.00000","4.40000","36877.00000","자연보호구역","37.7899352","127.5258072","춘천시 남산면 방하리 197번지 남이섬내 춘천시 강원도 KR","경기도","가평군","3322011.00000","15977577.00000","-79.20000","56729443.00000","56258056.00000","471387.00000"
"남한산성","202508","뉴스","1.00000",,,,"4.40000","1765.00000","문화 유산 보존","37.4789","127.18","경기도 광주시 남한산성면 남한산성로 784-29","경기도","광주시","4123441.00000","19131623.00000","-78.40000","75752797.00000","75311577.00000","441220.00000"
"예술의전당","202508","뉴스","1.00000",,"1.00000","-1.00000","4.60000","12003.00000","아트 센터","37.4792903","127.0128613","서울특별시 서초구 남부순환로 2406","서울특별시","서초구","16034826.00000","111012387.00000","-85.60000","492925128.00000","441249553.00000","51675575.00000"
"신촌","202508","뉴스","8.00000","5.00000","3.00000","0.70000","4.70000","1748.00000","대학교","37.5650797","126.9399549","서울특별시 서대문구 연세로 50-1","서울특별시","서대문구","7408740.00000","23726686.00000","-68.80000","79036540.00000","68897412.00000","10139128.00000"
"성수동","202508","뉴스","1.00000",,,,"4.50000","29.00000","관광 명소","37.5406846","127.0566319","서울특별시 성동구 성수동2가 315-4","서울특별시","성동구","6415762.00000","29677732.00000","-78.40000","134225390.00000","99483916.00000","34741474.00000"
"인천국제공항","202508","뉴스","7.00000","7.00000",,"1.00000","4.50000","32183.00000","국제공항","37.458666","126.4419679","인천광역시 중구 공항로 272 인천국제공항 (ICN)","인천광역시","중구","9445583.00000","81403662.00000","-88.40000","306389445.00000","222659440.00000","83730005.00000"
