TRRSRT_NM,BASE_YM,CHNNEL_NM,BASE_YEAR_ACCMLT_FQ_CO,BASE_YM_FQ_CO,BASE_YEAR_BEFORE_MT_FQ_CO,BEFORE_MT_VERSUS_FQ_CO_IRDS_RT,AVRG_SCORE_VALUE,REVIEW_CO,PLACE_TY,LC_LA,LC_LO,ADDR,CTPRVN_NM,SIGNGU_NM,TURSM_CSTMR_CO,BEFORE_YEAR_MT_TURSM_CSTMR_CO,TURSM_CSTMR_CO_IRDS_RT,TURSM_SPND_PRICE,NATIVE_TURSM_SPND_PRICE,FRNR_TURSM_SPND_PRICE
"부산 국제시장","202510","네이버카페","6.00000",,"1.00000","-1.00000","4.10000","12730.00000","시장","35.1731121","129.0714122","부산광역시 양정역","부산광역시","부산진구","6751608.00000","11682727.00000","-42.20000","121128134.00000","97251590.00000","23876544.00000"
"서울아트시네마","202510","네이버카페","3.00000","3.00000",,"1.00000","4.70000","60.00000","영화관","37.568038","126.9695876","서울특별시 중구 정동길 3","서울특별시","중구","12949212.00000","27056911.00000","-52.10000","857072916.00000","619078971.00000","237993945.00000"
"하남스타필드","202510","네이버카페","1.00000",,"1.00000","-1.00000","4.30000","18656.00000","쇼핑몰","37.5454054","127.223858","경기도 하남시 미사대로 750 스타필드 하남 1층","경기도","하남시","5363106.00000","9482543.00000","-43.40000","138532754.00000","137371536.00000","1161218.00000"
"남한산성","202510","네이버카페","7.00000",,,,"4.40000","1783.00000","문화 유산 보존","37.4789","127.18","경기도 광주시 남한산성면 남한산성로 784-29","경기도","광주시","4494238.00000","8463910.00000","-46.90000","81505966.00000","80999253.00000","506713.00000"
"남원 광한루원","202510","네이버카페","2.00000",,,,"4.30000","5282.00000","정원","35.4151468","127.3862661","전북특별자치도 남원시 향교동 244-6","전북특별자치도","남원시","1238797.00000","1771328.00000","-30.10000","18389067.00000","18313978.00000","75089.00000"
"이태원","202510","네이버카페","147.00000",,"1.00000","-1.00000","4.30000","290.00000","관광 명소","37.5385051","126.9925224","서울특별시 용산구 이태원동 213-4","서울특별시","용산구","10275024.00000","19215434.00000","-46.50000","198570142.00000","162194102.00000","36376040.00000"
"남산","202510","네이버카페","149.00000",,,,"4.70000","695.00000","산봉우리","37.5537586","126.9809696","서울특별시 중구 회현동1가 100-166","서울특별시","중구","12949212.00000","27056911.00000","-52.10000","857072916.00000","619078971.00000","237993945.00000"
"덕수궁","202510","네이버카페","6.00000",,,,"4.60000","19977.00000","문화적 랜드마크","37.5658049","126.9751461","서울특별시 중구 세종대로 99","서울특별시","중구","12949212.00000","27056911.00000","-52.10000","857072916.00000","619078971.00000","237993945.00000"
"김해공항","202510","네이버카페","4.00000",,"4.00000","-1.00000","4.10000","4644.00000","국제 공항","37.5655","126.8013","서울특별시 강서구 하늘길 112","서울특별시","강서구","8305367.00000","14460788.00000","-42.60000","280432780.00000","268911753.00000","11521027.00000"
"인천국제공항","202510","네이버카페","4.00000",,"3.00000","-1.00000","4.50000","32386.00000","국제공항","37.458666","126.4419679","인천광역시 중구 공항로 272 인천국제공항 (ICN)","인천광역시","중구","9845902.00000","17788603.00000","-44.70000","301867908.00000","236000807.00000","65867101.00000"
